Model,F1,Recall,Precision,Accuracy
Random Forest Validated,0.5795918367346939,0.46405228758169936,0.7717391304347826,0.8626666666666667
Random Forest CV,0.5833023473561428,0.4751398264223722,0.7586385244600642,0.8621333333333332
Tuned Decision Tree,0.5606550690451619,0.4692553305475195,0.7016083898068596,0.8503999999999999
